name, gender
Berkan,E
Berkant,E
Berkay,E
Berkkan,E
Berkman,E
Berksal,E
Berksan,E
Berksay,E
Berktan,E
Berna,U
Berrak,K
Berran,U
Bertan,E
Besalet,U
Besamet,K
Besat,E
Beşaret,U
Beşarettin,E
Betülay,K
Beyaz,K
Beyazıt,E
Beybars,E
Beybolat,E
Beycan,E
Beyda,E
Beydağ,E
Beydaş,E
Beyhan,U
Beyhatun,K
Beykal,E
Beykan,E
Beykara,E
Beylan,K
Beysan,E
Beytullah,E
Beyza,K
Beyzade,E
Beyzat,E
Bican,E
Bidar,K
Bidayet,K
Bihan,K
Bilan,E
Bilay,U
Bilbaşar,E
Bilbay,E
Bileda,E
Bilgealp,E
Bilgebay,E
Bilgecan,K
Bilgehan,U
Bilgekağan,E
Bilgekan,E
Bilgetay,E
Bilgihan,E
Bilgivar,K
Bilgütay,E
Bilhan,U
Bilkan,E
Bilsay,E
Biltaş,E
Biltay,E
Bilyap,E
Binal,E
Binali,E
Binalp,E
Binan,E
Binat,E
Binay,U
Binbaşar,E
Binbay,E
Bindal,E
Binhan,K
Binkan,E
Binnaz,K
Binyaşar,E
Biran,E
Birant,E
Biray,U
Bircan,U
Birdal,U
Birhan,U
Birkan,E
Birnaz,K
Birsan,U
Birtan,E
Birtane,K
Boğa,E
Boğaç,E
Boğaçhan,E
Boğahan,E
Boğataş,E
Boğatay,E
Boğatekin,E
Boğatır,E
Boğatimur,E
Bolat,E
Bolcan,E
Bolgan,E
Bolhan,E
Bolkan,E
Bora,E
Borahan,E
Borak,E
Borakan,E
Borakhan,E
Boran,E
Boranalp,E
Boranbay,E
Boransü,E
Borataş,E
Boratav,E
Boratay,E
Boray,E
Borkan,E
Boyar,E
Boydak,E
Boydaş,E
Boylan,E
Boynak,E
Boyraz,E
Boysal,E
Boysan,E
Bozan,E
Bozat,E
Bozay,E
Bozbağ,E
Bozbala,E
Bozbaş,E
Bozbay,E
Bozbora,E
Bozca,E
Bozdağ,E
Bozdoğan,E
Bozhan,E
Bozkan,E
Bozkara,E
Bozkaya,E
Bozlak,E
Bozokay,E
